warming,damages
1.599378109,5.87E+13
1.599378109,6.51E+13
1.704531193,6.94E+13
1.704531193,8.18E+13
1.704531193,5.82E+13
1.704531193,5.76E+13
1.704531193,3.81E+13
1.704531193,8.86E+13
1.704531193,8.04E+13
1.704531193,3.55E+13
1.704531193,7.06E+13
1.836962223,7.26E+13
1.836962223,7.22E+13
1.836962223,6.09E+13
1.836962223,6.43E+13
1.836962223,4.72E+13
1.836962223,6.70E+13
1.836962223,4.15E+13
1.836962223,8.64E+13
1.836962223,4.45E+13
1.836962223,5.38E+13
1.836962223,5.41E+13
1.941881657,4.67E+13
1.941881657,3.58E+13
1.941881657,7.91E+13
1.941881657,4.81E+13
1.941881657,1.24E+14
1.941881657,2.60E+13
1.941881657,5.78E+13
1.985521078,6.74E+13
1.985521078,8.12E+13
1.985521078,5.84E+13
1.985521078,7.80E+13
1.985521078,7.35E+13
1.985521078,6.07E+13
1.985521078,8.63E+13
1.985521078,4.01E+13
1.997253418,7.38E+13
1.997253418,7.58E+13
1.997253418,9.72E+13
1.997253418,7.55E+13
1.997253418,6.80E+13
1.997253418,6.91E+13
1.997253418,5.63E+13
1.997253418,5.57E+13
1.997253418,8.86E+13
1.997253418,7.71E+13
1.997253418,6.62E+13
2.030295134,9.07E+13
2.030295134,1.01E+14
2.030295134,5.52E+13
2.030295134,1.01E+14
2.030295134,7.45E+13
2.030295134,6.93E+13
2.030295134,4.13E+13
2.030295134,8.73E+13
2.09659338,8.90E+13
2.09659338,9.39E+13
2.09659338,6.54E+13
2.09659338,1.05E+14
2.09659338,8.64E+13
2.09659338,1.10E+14
2.09659338,8.84E+13
2.09659338,9.93E+13
2.09659338,1.07E+14
2.09659338,4.58E+13
2.09659338,7.84E+13
2.222,1.20E+14
2.222,8.52E+13
2.222,1.15E+14
2.222,1.01E+14
2.222,6.44E+13
2.222,6.99E+13
2.222,8.42E+13
2.222,4.76E+13
2.222,8.85E+13
2.222,9.52E+13
2.222,8.79E+13
2.222,6.35E+13
2.222,7.29E+13
2.222,1.09E+14
2.222,1.32E+14
2.281956911,9.32E+13
2.281956911,1.10E+14
2.281956911,1.02E+14
2.281956911,1.06E+14
2.281956911,1.55E+14
2.281956911,6.80E+13
2.281956911,9.78E+13
2.281956911,1.22E+14
2.294119596,9.36E+13
2.294119596,1.22E+14
2.294119596,1.12E+14
2.294119596,9.18E+13
2.294119596,1.24E+14
2.294119596,1.14E+14
2.294119596,8.91E+13
2.467653275,1.07E+14
2.467653275,1.19E+14
2.467653275,1.33E+14
2.467653275,1.79E+14
2.467653275,1.15E+14
2.467653275,1.24E+14
2.467653275,1.08E+14
2.467653275,1.35E+14
2.482,1.09E+14
2.482,9.48E+13
2.482,8.24E+13
2.482,1.01E+14
2.482,1.35E+14
2.482,1.18E+14
2.482,1.44E+14
2.482,1.24E+14
2.482,1.14E+14
2.482,1.30E+14
2.482,1.49E+14
2.615,1.46E+14
2.615,1.17E+14
2.615,1.72E+14
2.615,1.23E+14
2.615,1.26E+14
2.615,1.38E+14
2.615,1.10E+14
2.615,1.21E+14
2.615,1.21E+14
2.615,1.18E+14
2.615,1.43E+14
2.615,1.07E+14
2.615,1.39E+14
2.615,1.43E+14
2.615,7.62E+13
2.615,1.67E+14
2.615,1.47E+14
2.679,1.55E+14
2.679,1.50E+14
2.679,1.58E+14
2.679,8.61E+13
2.679,1.18E+14
2.679,1.44E+14
2.679,1.05E+14
2.679,1.16E+14
2.679,1.13E+14
2.679,1.60E+14
2.679,1.49E+14
2.679,1.43E+14
2.679,1.30E+14
2.679,1.35E+14
2.679,1.59E+14
2.679,1.52E+14
2.679,1.25E+14
2.679,1.43E+14
2.679,1.45E+14
2.679,1.27E+14
2.700337648,1.25E+14
2.700337648,1.81E+14
2.700337648,1.22E+14
2.700337648,1.19E+14
2.700337648,1.33E+14
2.700337648,1.11E+14
2.700337648,1.08E+14
2.700337648,9.79E+13
2.700337648,1.33E+14
2.700337648,1.63E+14
2.700337648,1.36E+14
2.780064106,1.71E+14
2.780064106,1.53E+14
2.780064106,1.01E+14
2.780064106,1.61E+14
2.780064106,1.29E+14
2.780064106,1.02E+14
2.780064106,1.63E+14
2.780064106,1.53E+14
2.780064106,1.38E+14
2.923653603,1.22E+14
2.923653603,1.53E+14
2.923653603,1.70E+14
2.923653603,1.67E+14
2.923653603,1.80E+14
2.923653603,1.54E+14
3.046,1.76E+14
3.046,2.69E+14
3.046,1.97E+14
3.046,1.06E+14
3.046,1.70E+14
3.046,1.39E+14
3.046,1.56E+14
3.046,1.26E+14
3.046,1.24E+14
3.046,1.33E+14
3.046,1.91E+14
3.046,1.71E+14
3.046,1.66E+14
3.046,1.02E+14
3.046,1.60E+14
3.046,1.74E+14
3.046,2.16E+14
3.046,1.74E+14
3.366702557,2.43E+14
3.366702557,2.33E+14
3.366702557,2.00E+14
3.366702557,2.26E+14
3.366702557,1.98E+14
3.366702557,1.87E+14
3.366702557,2.14E+14
3.366702557,2.50E+14
3.366702557,2.65E+14
3.403726578,2.26E+14
3.403726578,2.05E+14
3.403726578,2.71E+14
3.403726578,1.88E+14
3.403726578,2.24E+14
3.403726578,1.85E+14
3.403726578,2.41E+14
3.403726578,1.94E+14
3.403726578,2.29E+14
3.403726578,2.30E+14
3.530650139,1.96E+14
3.530650139,2.78E+14
3.530650139,1.65E+14
3.530650139,2.34E+14
3.530650139,1.70E+14
3.530650139,2.28E+14
3.56096983,2.73E+14
3.56096983,2.52E+14
3.56096983,2.19E+14
3.56096983,1.89E+14
3.56096983,2.75E+14
3.56096983,2.18E+14
3.56096983,1.85E+14
3.635104179,2.85E+14
3.635104179,2.23E+14
3.635104179,2.75E+14
3.635104179,2.26E+14
3.635104179,2.22E+14
3.635104179,3.06E+14
3.635104179,2.70E+14
3.635104179,2.62E+14
3.635104179,2.48E+14
3.635104179,2.25E+14
3.656409264,2.81E+14
3.656409264,2.38E+14
3.656409264,2.83E+14
3.656409264,2.52E+14
3.656409264,2.88E+14
3.656409264,2.49E+14
3.656409264,1.90E+14
3.682137251,2.51E+14
3.682137251,2.49E+14
3.682137251,2.51E+14
3.682137251,2.49E+14
3.682137251,3.07E+14
3.682137251,3.30E+14
3.682137251,3.10E+14
3.682137251,3.44E+14
3.709625244,2.81E+14
3.709625244,3.13E+14
3.709625244,2.46E+14
3.709625244,2.46E+14
3.709625244,3.34E+14
3.709625244,3.01E+14
3.709625244,2.47E+14
3.709625244,2.69E+14
3.709625244,2.97E+14
3.709625244,2.97E+14
3.74050355,2.71E+14
3.74050355,2.28E+14
3.74050355,2.05E+14
3.74050355,2.61E+14
3.74050355,2.83E+14
3.74050355,3.13E+14
3.74050355,2.93E+14
3.74050355,2.74E+14
3.74050355,2.77E+14
3.74050355,2.76E+14
4.126,2.42E+14
4.126,3.60E+14
4.126,3.33E+14
4.126,3.12E+14
4.126,3.63E+14
4.126,3.98E+14
4.126,3.17E+14
4.126,3.07E+14
4.126,2.82E+14
4.126,2.95E+14
4.126,3.23E+14
4.126,3.51E+14
4.126,2.72E+14
4.126,3.46E+14
4.126,3.13E+14
4.126,3.10E+14
4.126,3.26E+14
4.126,3.17E+14
4.126,3.28E+14
4.126,2.96E+14
4.126,4.26E+14
4.126,2.85E+14
4.336750507,3.34E+14
4.336750507,3.58E+14
4.336750507,3.24E+14
4.336750507,3.82E+14
4.336750507,3.61E+14
4.336750507,4.21E+14
4.405502319,3.61E+14
4.405502319,4.19E+14
4.405502319,3.83E+14
4.405502319,2.79E+14
4.405502319,3.74E+14
4.405502319,3.50E+14
4.405502319,3.62E+14
4.405502319,4.03E+14
4.405502319,3.75E+14
4.4174757,4.38E+14
4.4174757,2.98E+14
4.4174757,3.62E+14
4.4174757,4.14E+14
4.4174757,3.62E+14
4.4174757,3.45E+14
4.4174757,4.25E+14
4.4174757,2.81E+14
4.4174757,3.70E+14
4.4174757,3.06E+14
4.4174757,4.26E+14
4.4174757,3.68E+14
4.418580532,3.35E+14
4.418580532,4.23E+14
4.418580532,4.26E+14
4.418580532,4.30E+14
4.418580532,3.54E+14
4.418580532,3.99E+14
4.418580532,4.04E+14
4.418580532,3.94E+14
4.418580532,4.20E+14
4.549578667,4.83E+14
4.549578667,3.90E+14
4.549578667,3.27E+14
4.549578667,3.80E+14
4.549578667,4.14E+14
4.549578667,3.86E+14
4.549578667,4.13E+14
4.549578667,4.30E+14
4.549578667,4.33E+14
4.549578667,2.89E+14
4.643170357,3.92E+14
4.643170357,3.61E+14
4.643170357,4.72E+14
4.643170357,3.84E+14
4.643170357,4.16E+14
4.643170357,3.58E+14
4.643170357,4.09E+14
4.643170357,4.23E+14
4.643170357,4.15E+14
4.643170357,4.23E+14
4.643170357,4.37E+14
4.746893406,4.63E+14
4.746893406,4.67E+14
4.746893406,4.80E+14
4.746893406,4.06E+14
4.746893406,3.96E+14
4.746893406,4.71E+14
4.746893406,4.67E+14
4.746893406,4.53E+14
4.746893406,3.63E+14
4.746893406,4.95E+14
4.746893406,4.80E+14
4.746893406,4.97E+14
4.972887516,4.96E+14
4.972887516,4.34E+14
4.972887516,4.68E+14
4.972887516,5.25E+14
4.972887516,4.84E+14
4.972887516,4.79E+14
4.972887516,4.38E+14
4.972887516,4.32E+14
4.972887516,4.23E+14
4.972887516,4.96E+14
5.293206692,4.78E+14
5.293206692,5.58E+14
5.293206692,5.12E+14
5.293206692,5.29E+14
5.293206692,5.13E+14
5.293206692,5.21E+14
5.293206692,6.20E+14
5.293206692,5.58E+14
5.293206692,4.59E+14
5.293206692,5.82E+14
5.999,7.60E+14
5.999,6.84E+14
5.999,6.86E+14
5.999,6.73E+14
5.999,7.00E+14
5.999,6.53E+14
5.999,7.88E+14
5.999,6.86E+14
5.999,6.93E+14
5.999,7.15E+14
5.999,6.51E+14
5.999,7.41E+14
5.999,5.87E+14
5.999,7.28E+14
5.999,7.01E+14
5.999,6.75E+14
5.999,7.10E+14
5.999,7.79E+14
5.999,7.43E+14
6.657,9.78E+14
6.657,7.63E+14
6.657,8.36E+14
6.657,8.13E+14
6.657,8.72E+14
6.657,7.88E+14
6.657,7.83E+14
6.657,9.85E+14
6.657,7.99E+14
6.657,7.93E+14
6.657,7.82E+14
6.657,8.95E+14
6.657,7.25E+14
6.657,7.52E+14
6.657,8.24E+14
6.657,8.29E+14
6.657,8.23E+14
9.243,1.68E+15
9.243,1.79E+15
9.243,1.56E+15
9.243,1.72E+15
9.243,1.66E+15
9.243,1.65E+15
9.243,1.63E+15
9.243,1.65E+15
9.243,1.51E+15
9.243,1.58E+15
9.243,1.58E+15
9.243,1.73E+15
9.243,1.58E+15
9.243,1.68E+15
9.243,1.71E+15
9.243,1.63E+15
9.243,1.70E+15
9.243,1.70E+15
9.243,1.72E+15
9.243,1.54E+15
9.243,1.75E+15
9.243,1.69E+15
9.243,1.60E+15
